instance,num_ants,alpha,beta,evaporation_rate,version,cost,duration
200_20_150_9_D5.def,1,1.0,1.0,0.5,2,52542,2874
200_20_150_9_D5.def,1,1.0,1.0,0.9,1,97496,907
200_20_150_9_D5.def,1,1.0,1.0,0.9,2,52542,2873
200_20_150_9_D5.def,30,1.0,5.0,0.1,1,93101,907
200_20_150_9_D5.def,30,1.0,5.0,0.1,2,52542,2855
200_20_150_9_D5.def,30,1.0,5.0,0.5,1,93473,907
200_20_150_9_D5.def,30,1.0,5.0,0.5,2,52542,2867
200_20_150_9_D5.def,30,1.0,5.0,0.9,1,97029,907
200_20_150_9_D5.def,30,1.0,5.0,0.9,2,52542,2871
200_20_150_9_D5.def,30,5.0,1.0,0.1,1,95736,907
200_20_150_9_D5.def,30,5.0,1.0,0.1,2,52547,2861
200_20_150_9_D5.def,30,5.0,1.0,0.5,1,93090,907
200_20_150_9_D5.def,30,5.0,1.0,0.5,2,52583,2885
200_20_150_9_D5.def,30,5.0,1.0,0.9,1,93117,907
200_20_150_9_D5.def,30,5.0,1.0,0.9,2,53040,2803
200_20_150_9_D5.def,30,1.0,1.0,0.1,1,93342,907
200_20_150_9_D5.def,30,1.0,1.0,0.1,2,52542,2847
200_20_150_9_D5.def,30,1.0,1.0,0.5,1,95278,907
200_20_150_9_D5.def,30,1.0,1.0,0.5,2,52542,2871
200_20_150_9_D5.def,30,1.0,1.0,0.9,1,94291,907
200_20_150_9_D5.def,30,1.0,1.0,0.9,2,52551,2879
100_20_23_9_D1.def,1,1.0,5.0,0.1,1,56165,207
100_20_23_9_D1.def,1,1.0,5.0,0.1,2,30643,1239
100_20_23_9_D1.def,1,1.0,5.0,0.5,1,54263,159
100_20_23_9_D1.def,1,1.0,5.0,0.5,2,30643,1239
100_20_23_9_D1.def,1,1.0,5.0,0.9,1,53219,181
100_20_23_9_D1.def,1,1.0,5.0,0.9,2,30643,1239
100_20_23_9_D1.def,1,5.0,1.0,0.1,1,53005,182
100_20_23_9_D1.def,1,5.0,1.0,0.1,2,30646,1239
100_20_23_9_D1.def,1,5.0,1.0,0.5,1,52428,195
100_20_23_9_D1.def,1,5.0,1.0,0.5,2,30655,1236
100_20_23_9_D1.def,1,5.0,1.0,0.9,1,52938,201
100_20_23_9_D1.def,1,5.0,1.0,0.9,2,30781,1140
100_20_23_9_D1.def,1,1.0,1.0,0.1,1,54136,214
100_20_23_9_D1.def,1,1.0,1.0,0.1,2,30643,1239
100_20_23_9_D1.def,1,1.0,1.0,0.5,1,53133,201
100_20_23_9_D1.def,1,1.0,1.0,0.5,2,30643,1239
100_20_23_9_D1.def,1,1.0,1.0,0.9,1,53082,175
100_20_23_9_D1.def,1,1.0,1.0,0.9,2,30650,1239
100_20_23_9_D1.def,30,1.0,5.0,0.1,1,54610,155
100_20_23_9_D1.def,30,1.0,5.0,0.1,2,30643,1239
100_20_23_9_D1.def,30,1.0,5.0,0.5,1,53210,153
100_20_23_9_D1.def,30,1.0,5.0,0.5,2,30643,1278
100_20_23_9_D1.def,30,1.0,5.0,0.9,1,53175,149
100_20_23_9_D1.def,30,1.0,5.0,0.9,2,30683,1296
100_20_23_9_D1.def,30,5.0,1.0,0.1,1,55061,148
100_20_23_9_D1.def,30,5.0,1.0,0.1,2,30830,1266
100_20_23_9_D1.def,30,5.0,1.0,0.5,1,52020,148
100_20_23_9_D1.def,30,5.0,1.0,0.5,2,31021,1034
100_20_23_9_D1.def,30,5.0,1.0,0.9,1,51672,148
100_20_23_9_D1.def,30,5.0,1.0,0.9,2,34160,760
100_20_23_9_D1.def,30,1.0,1.0,0.1,1,54252,148
100_20_23_9_D1.def,30,1.0,1.0,0.1,2,30654,1222
100_20_23_9_D1.def,30,1.0,1.0,0.5,1,52319,148
100_20_23_9_D1.def,30,1.0,1.0,0.5,2,30643,1260
100_20_23_9_D1.def,30,1.0,1.0,0.9,1,54406,148
100_20_23_9_D1.def,30,1.0,1.0,0.9,2,30825,1131
100_10_27_9_D2.def,1,1.0,5.0,0.1,1,44536,283
100_10_27_9_D2.def,1,1.0,5.0,0.1,2,26771,1064
100_10_27_9_D2.def,1,1.0,5.0,0.5,1,43864,298
100_10_27_9_D2.def,1,1.0,5.0,0.5,2,26771,1064
100_10_27_9_D2.def,1,1.0,5.0,0.9,1,44170,298
100_10_27_9_D2.def,1,1.0,5.0,0.9,2,26771,1064
100_10_27_9_D2.def,1,5.0,1.0,0.1,1,44400,266
100_10_27_9_D2.def,1,5.0,1.0,0.1,2,26773,1054
100_10_27_9_D2.def,1,5.0,1.0,0.5,1,45279,269
100_10_27_9_D2.def,1,5.0,1.0,0.5,2,26779,1056
100_10_27_9_D2.def,1,5.0,1.0,0.9,1,44284,276
100_10_27_9_D2.def,1,5.0,1.0,0.9,2,26833,1047
100_10_27_9_D2.def,1,1.0,1.0,0.1,1,44317,252
100_10_27_9_D2.def,1,1.0,1.0,0.1,2,26771,1064
100_10_27_9_D2.def,1,1.0,1.0,0.5,1,44945,265
100_10_27_9_D2.def,1,1.0,1.0,0.5,2,26771,1064
100_10_27_9_D2.def,1,1.0,1.0,0.9,1,43951,262
100_10_27_9_D2.def,1,1.0,1.0,0.9,2,26777,1034
100_10_27_9_D2.def,30,1.0,5.0,0.1,1,44204,247
100_10_27_9_D2.def,30,1.0,5.0,0.1,2,26771,1102
100_10_27_9_D2.def,30,1.0,5.0,0.5,1,44478,253
100_10_27_9_D2.def,30,1.0,5.0,0.5,2,26771,1016
100_10_27_9_D2.def,30,1.0,5.0,0.9,1,44387,261
100_10_27_9_D2.def,30,1.0,5.0,0.9,2,26773,1006
100_10_27_9_D2.def,30,5.0,1.0,0.1,1,45719,239
100_10_27_9_D2.def,30,5.0,1.0,0.1,2,26786,989
100_10_27_9_D2.def,30,5.0,1.0,0.5,1,44442,226
100_10_27_9_D2.def,30,5.0,1.0,0.5,2,26859,1068
100_10_27_9_D2.def,30,5.0,1.0,0.9,1,45299,240
100_10_27_9_D2.def,30,5.0,1.0,0.9,2,27264,1088
100_10_27_9_D2.def,30,1.0,1.0,0.1,1,44412,241
100_10_27_9_D2.def,30,1.0,1.0,0.1,2,26773,1052
100_10_27_9_D2.def,30,1.0,1.0,0.5,1,44512,225
100_10_27_9_D2.def,30,1.0,1.0,0.5,2,26771,982
100_10_27_9_D2.def,30,1.0,1.0,0.9,1,45230,234
100_10_27_9_D2.def,30,1.0,1.0,0.9,2,26856,1084
100_20_65_9.def,1,1.0,5.0,0.1,1,131257,198
100_20_65_9.def,1,1.0,5.0,0.1,2,60954,924
100_20_65_9.def,1,1.0,5.0,0.5,1,128331,179
100_20_65_9.def,1,1.0,5.0,0.5,2,60956,924
100_20_65_9.def,1,1.0,5.0,0.9,1,124304,218
100_20_65_9.def,1,1.0,5.0,0.9,2,60956,924
100_20_65_9.def,1,5.0,1.0,0.1,1,126264,207
100_20_65_9.def,1,5.0,1.0,0.1,2,60958,924
100_20_65_9.def,1,5.0,1.0,0.5,1,126834,193
100_20_65_9.def,1,5.0,1.0,0.5,2,60957,924
100_20_65_9.def,1,5.0,1.0,0.9,1,129341,182
100_20_65_9.def,1,5.0,1.0,0.9,2,61640,853
100_20_65_9.def,1,1.0,1.0,0.1,1,125396,181
100_20_65_9.def,1,1.0,1.0,0.1,2,60954,924
100_20_65_9.def,1,1.0,1.0,0.5,1,126755,203
